iter	MultiClass
0	2.222080206
1	2.143273337
2	2.080383243
3	2.018220284
4	1.954578989
5	1.906225873
6	1.860846049
7	1.810343388
8	1.764087809
9	1.729394799
10	1.689347398
11	1.655502063
12	1.622838419
13	1.593765606
14	1.565815139
15	1.538723956
16	1.51207703
17	1.480999581
18	1.454422619
19	1.424904762
20	1.400594293
21	1.37405656
22	1.352262683
23	1.332358569
24	1.309133632
25	1.289003758
26	1.269261111
27	1.250275043
28	1.233613489
29	1.215936129
30	1.196098181
31	1.176832076
32	1.16012934
33	1.14421127
34	1.125940423
35	1.111433461
36	1.095187462
37	1.079989527
38	1.064925143
39	1.051442277
40	1.039090655
41	1.024348668
42	1.01149863
43	0.9994620858
44	0.9866453814
45	0.9752556719
46	0.9651815105
47	0.9557805896
48	0.9459117326
49	0.9361494506
50	0.9259016458
51	0.9165502657
52	0.9064148509
53	0.8963576826
54	0.8849547176
55	0.8758883812
56	0.865029979
57	0.8563147977
58	0.849272815
59	0.8402146772
60	0.8293997709
61	0.8216336954
62	0.8125245849
63	0.8041267102
64	0.7971802083
65	0.7891353034
66	0.7814778349
67	0.7746098193
68	0.768022587
69	0.7597586003
70	0.7518554003
71	0.7447593083
72	0.7380227616
73	0.7309733803
74	0.72503598
75	0.7173130219
76	0.7121468794
77	0.7062050866
78	0.7008347105
79	0.6941845785
80	0.6884916721
81	0.6824813162
82	0.67767436
83	0.6708532348
84	0.6665740042
85	0.66170929
86	0.6579614917
87	0.6523190869
88	0.6464331162
89	0.6409707854
90	0.6366049517
91	0.6305808509
92	0.6246168134
93	0.6199063333
94	0.6155473051
95	0.6089790872
96	0.6041476005
97	0.6004464632
98	0.5949188548
99	0.5908028034
100	0.586801908
101	0.5821605619
102	0.5777706546
103	0.5728323987
104	0.5687903054
105	0.5638218916
106	0.5589059743
107	0.5554109151
108	0.553199031
109	0.551371864
110	0.5472133843
111	0.543321916
112	0.5395449189
113	0.5344643701
114	0.5312440444
115	0.5271134793
116	0.524639335
117	0.5213618331
118	0.5172751245
119	0.5133464463
120	0.5099029056
121	0.5066454049
122	0.5033843337
123	0.4995363352
124	0.4956048665
125	0.4928693172
126	0.4904036924
127	0.4867628156
128	0.4838470084
129	0.4813395482
130	0.4780915539
131	0.4742880933
132	0.4711162579
133	0.4681221439
134	0.4655093808
135	0.4631796102
136	0.4617336506
137	0.4573098651
138	0.4539863587
139	0.4505757743
140	0.4486212143
141	0.4457225211
142	0.4428452824
143	0.4396057909
144	0.436691495
145	0.4333629786
146	0.4312322309
147	0.4286780553
148	0.4275783526
149	0.4247447706
150	0.4225641815
151	0.4199121809
152	0.4174254575
153	0.4151596495
154	0.4132260704
155	0.4111457286
156	0.4081941783
157	0.4072419265
158	0.4056295737
159	0.4033043562
160	0.4012752108
161	0.3985695367
162	0.3962647288
163	0.3940163428
164	0.3916887643
165	0.3893332847
166	0.3869948477
167	0.3850427557
168	0.3818718517
169	0.3803776411
170	0.3789533303
171	0.3768943552
172	0.3748632017
173	0.3736919177
174	0.3707184915
175	0.3682765243
176	0.3662184314
177	0.3636590136
178	0.3630084587
179	0.3611272698
180	0.3590078372
181	0.3568768123
182	0.3553080946
183	0.3528689499
184	0.3512069895
185	0.3491278649
186	0.3464834747
187	0.3439892846
188	0.3413901587
189	0.3398796376
190	0.3376192359
191	0.3360801609
192	0.3343044826
193	0.33268074
194	0.3303392739
195	0.3288082215
196	0.3281771152
197	0.3263728572
198	0.3247424669
199	0.324073229
200	0.3228231125
201	0.3209515736
202	0.318811742
203	0.3180420107
204	0.3166965256
205	0.3150980922
206	0.3129618942
207	0.3119143357
208	0.3101505935
209	0.3083230261
210	0.3066664469
211	0.3051514697
212	0.3037284549
213	0.3019781419
214	0.3004566664
215	0.2992495822
216	0.2982309407
217	0.2969382165
218	0.2958180793
219	0.2943871352
220	0.2924768949
221	0.2913992637
222	0.2900465691
223	0.2891561912
224	0.2871487658
225	0.2857765292
226	0.2846330264
227	0.2825224115
228	0.2811939463
229	0.2798223314
230	0.2791324775
231	0.278107995
232	0.2771962794
233	0.2764069193
234	0.2756602343
235	0.2751248719
236	0.2744440258
237	0.2732594459
238	0.2720862784
239	0.2711069043
240	0.2700942588
241	0.26909033
242	0.2678894368
243	0.2668860892
244	0.2658683669
245	0.2648411801
246	0.263834
247	0.2626681654
248	0.2619457632
249	0.2606242684
250	0.2595650742
251	0.2590838403
252	0.2578900914
253	0.2569930738
254	0.2557333436
255	0.2547982361
256	0.25368344
257	0.2528677792
258	0.2525509558
259	0.251312285
260	0.2500967783
261	0.2487838899
262	0.247540223
263	0.2468078735
264	0.2457816934
265	0.2448609014
266	0.2438063972
267	0.2431448108
268	0.2422252691
269	0.2415494002
270	0.2406125903
271	0.2396727409
272	0.2387367023
273	0.2377534401
274	0.2368160913
275	0.235703181
276	0.2350112398
277	0.2342958993
278	0.2332155865
279	0.2326562554
280	0.2320549582
281	0.2310691795
282	0.2297738761
283	0.2289358413
284	0.2279394907
285	0.2267731388
286	0.2261378008
287	0.224985707
288	0.2243617474
289	0.2237774623
290	0.2229110819
291	0.222514531
292	0.2216938102
293	0.2207685971
294	0.2196508892
295	0.2187312803
296	0.2182536907
297	0.2173898045
298	0.2161212399
299	0.2152816407
300	0.214602977
301	0.2133273123
302	0.2125267315
303	0.2119432289
304	0.2110481117
305	0.2100640744
306	0.2096387979
307	0.2088255577
308	0.2078042402
309	0.2070921682
310	0.2062767113
311	0.2059228534
312	0.2053259786
313	0.2042654099
314	0.2035925025
315	0.2028117323
316	0.2018386689
317	0.2014810832
318	0.200924128
319	0.1999246277
320	0.1994997469
321	0.1987431776
322	0.1979159479
323	0.1973762708
324	0.1968105477
325	0.1961394687
326	0.1953203782
327	0.1945795861
328	0.194327712
329	0.193457897
330	0.1927766021
331	0.1920612243
332	0.1912616265
333	0.1906485161
334	0.1898258794
335	0.1889930702
336	0.1883638205
337	0.1876699906
338	0.1872007891
339	0.186443389
340	0.1858744186
341	0.1857025832
342	0.1851817424
343	0.1845450407
344	0.1837541274
345	0.1834973513
346	0.1826301321
347	0.1817649678
348	0.1814008275
349	0.1807489366
350	0.1801267941
351	0.1792931281
352	0.1787113315
353	0.1781214612
354	0.177630749
355	0.1770791965
356	0.1764463355
357	0.1759091112
358	0.1752658601
359	0.1745297587
360	0.1740392303
361	0.1734555817
362	0.1726449535
363	0.1719289944
364	0.1712620238
365	0.1707823148
366	0.1702221689
367	0.1698556734
368	0.1693065499
369	0.1687642365
370	0.1682578807
371	0.1676417349
372	0.1669215379
373	0.1660008996
374	0.1656369718
375	0.1652598985
376	0.1647142147
377	0.1642961577
378	0.1637479417
379	0.1631470329
380	0.1625073888
381	0.1618978228
382	0.1613268576
383	0.1606678437
384	0.1601720434
385	0.1597143654
386	0.1588987906
387	0.1580165508
388	0.1577024257
389	0.157261745
390	0.1567283591
391	0.1562246746
392	0.1556861804
393	0.155395087
394	0.154955235
395	0.1546056861
396	0.1543728957
397	0.1535229021
398	0.1530769281
399	0.1524742937
400	0.1519011105
401	0.1513601063
402	0.1508607416
403	0.1501256751
404	0.1494539912
405	0.1489703303
406	0.1485302517
407	0.1480407073
408	0.147750784
409	0.1473715474
410	0.1469226501
411	0.1465898489
412	0.1463832776
413	0.1460684082
414	0.1455919467
415	0.1451143357
416	0.1446981867
417	0.1441745078
418	0.1437952846
419	0.1435403596
420	0.1430673353
421	0.1426364483
422	0.1422373033
423	0.1417408873
424	0.1411225223
425	0.1406038011
426	0.1403780492
427	0.1401692216
428	0.1398892369
429	0.139488831
430	0.1389765237
431	0.1384051307
432	0.1380594318
433	0.1379643921
434	0.1375767559
435	0.1372416305
436	0.137054371
437	0.1367915114
438	0.1360858314
439	0.1356529685
440	0.1351835041
441	0.134882707
442	0.1344942217
443	0.134154648
444	0.1338980271
445	0.1333695762
446	0.1329690079
447	0.1324897355
448	0.1319468834
449	0.1317003605
450	0.13128148
451	0.1309860651
452	0.1306921068
453	0.1302929794
454	0.1298994338
455	0.1296175474
456	0.129187248
457	0.1288162658
458	0.1284937389
459	0.1280004459
460	0.1276767484
461	0.1270333519
462	0.1266445794
463	0.1264103628
464	0.1260580814
465	0.1257445737
466	0.1251916957
467	0.1248953502
468	0.1245424788
469	0.1241498866
470	0.1240292604
471	0.1237327859
472	0.1233217077
473	0.1229860932
474	0.1226681331
475	0.1222394711
476	0.121785743
477	0.1216849354
478	0.1213387707
479	0.1209305842
480	0.1204353513
481	0.1200558026
482	0.1197840549
483	0.1195163288
484	0.1190443417
485	0.1188417651
486	0.1184345445
487	0.1179185417
488	0.1177022822
489	0.1173073995
490	0.1169448699
491	0.1165866798
492	0.1162402645
493	0.1158252067
494	0.115384761
495	0.1151561475
496	0.1147810712
497	0.1144777582
498	0.1141677157
499	0.1137998139
500	0.1133900717
501	0.1131109499
502	0.1128484738
503	0.1125052446
504	0.112233147
505	0.1118770092
506	0.1115565487
507	0.1113263777
508	0.110822841
509	0.1104762863
510	0.1101788712
511	0.1099292002
512	0.1097914801
513	0.1094198943
514	0.109070967
515	0.1087494879
516	0.1085454376
517	0.1081854549
518	0.1080235378
519	0.1078805207
520	0.1075303103
521	0.107253194
522	0.1070053014
523	0.1067380017
524	0.1066201121
525	0.106252351
526	0.1059895146
527	0.1057559677
528	0.1055008401
529	0.1053673757
530	0.1051727196
531	0.1049641381
532	0.1047479298
533	0.1045505305
534	0.1043290245
535	0.1041472761
536	0.1038063991
537	0.1036270179
538	0.1033353977
539	0.1030000268
540	0.1027080055
541	0.1025054683
542	0.1022089957
543	0.1019091941
544	0.1015896985
545	0.1011508939
546	0.100977349
547	0.1007084529
548	0.1005276519
549	0.1001642267
550	0.09996428728
551	0.09961421579
552	0.0994166687
553	0.09915885973
554	0.09873720479
555	0.09841355877
556	0.09824409889
557	0.09800061032
558	0.0978627504
559	0.09768037281
560	0.09749636434
561	0.09723923497
562	0.09698649423
563	0.09679846407
564	0.09651809715
565	0.0962995137
566	0.09606512175
567	0.09571028072
568	0.0954119367
569	0.09513799295
570	0.09492287451
571	0.09459921199
572	0.09441181024
573	0.09422843505
574	0.09402288293
575	0.09371386827
576	0.0933885128
577	0.09314929494
578	0.09285458662
579	0.09267961981
580	0.09253844245
581	0.0922465465
582	0.09201704135
583	0.09181356756
584	0.09154206518
585	0.09135638758
586	0.09110518632
587	0.09092843066
588	0.09069952457
589	0.09033643157
590	0.09014035621
591	0.08990905912
592	0.08972903282
593	0.08936842205
594	0.08908243572
595	0.08887247597
596	0.08867350881
597	0.08843299833
598	0.08818558029
599	0.08804122366
600	0.08778208143
601	0.08757869264
602	0.08738492586
603	0.08718029983
604	0.08696163289
605	0.0868625495
606	0.08666115518
607	0.08636476748
608	0.08617679578
609	0.08591798736
610	0.0857347572
611	0.08546920386
612	0.08533084562
613	0.08509096877
614	0.08492998495
615	0.08473593654
616	0.08451894953
617	0.08430264045
618	0.08409133057
619	0.08392599559
620	0.08384772699
621	0.08361013178
622	0.08333320036
623	0.0831484678
624	0.0829654189
625	0.08283588198
626	0.08274207215
627	0.08258922157
628	0.08238686521
629	0.08215452127
630	0.08199002948
631	0.08175103134
632	0.08147397685
633	0.08131521846
634	0.08119449646
635	0.08088863039
636	0.0807896419
637	0.08056779717
638	0.08033854288
639	0.08015187514
640	0.07997833257
641	0.07980521571
642	0.0796474163
643	0.07950510247
644	0.07933981047
645	0.07916472783
646	0.07898519442
647	0.07878810135
648	0.07858724168
649	0.07839248121
650	0.0782033792
651	0.07803804042
