iter	Passed	Remaining
0	350	350011
1	517	258325
2	686	228211
3	835	208109
4	985	196198
5	1138	188676
6	1283	182036
7	1434	177837
8	1582	174282
9	1752	173482
10	1899	170738
11	2043	168224
12	2209	167739
13	2372	167085
14	2516	165278
15	2682	164986
16	2865	165708
17	3088	168487
18	3241	167356
19	3406	166919
20	3573	166573
21	3758	167064
22	3947	167682
23	4130	167953
24	4320	168490
25	4490	168239
26	4649	167555
27	4899	170085
28	5060	169427
29	5249	169729
30	5437	169964
31	5590	169119
32	5732	167965
33	5888	167301
34	6055	166945
35	6261	167662
36	6432	167406
37	6574	166444
38	6709	165328
39	6844	164263
40	6987	163444
41	7131	162661
42	7296	162386
43	7488	162710
44	7682	163033
45	7829	162372
46	7960	161408
47	8116	160972
48	8273	160575
49	8443	160429
50	8599	160019
51	8849	161330
52	9028	161321
53	9311	163118
54	9469	162697
55	9612	162043
56	9749	161297
57	9929	161264
58	10116	161355
59	10281	161079
60	10423	160452
61	10596	160316
62	10782	160360
63	10963	160343
64	11193	161012
65	11341	160505
66	11498	160121
67	11643	159590
68	11802	159242
69	12016	159651
70	12266	160497
71	12475	160794
72	12700	161278
73	12882	161199
74	13072	161230
75	13335	162132
76	13599	163016
77	13818	163342
78	13983	163022
79	14144	162667
80	14297	162218
81	14453	161808
82	14601	161315
83	14751	160862
84	14895	160343
85	15044	159894
86	15212	159647
87	15393	159531
88	15544	159112
89	15689	158637
90	15833	158165
91	15970	157623
92	16120	157215
93	16271	156830
94	16416	156384
95	16571	156049
96	16719	155649
97	16865	155228
98	17031	155000
99	17166	154495
100	17303	154019
101	17443	153573
102	17585	153145
103	17722	152683
104	17854	152189
105	17992	151752
106	18212	152000
107	18369	151715
108	18508	151292
109	18650	150896
110	18799	150564
111	18943	150195
112	19089	149841
113	19226	149426
114	19358	148974
115	19504	148637
116	19661	148388
117	19800	147998
118	19954	147726
119	20089	147326
120	20222	146903
121	20355	146496
122	20503	146193
123	20643	145837
124	20780	145460
125	20914	145074
126	21058	144755
127	21187	144340
128	21334	144048
129	21545	144190
130	21702	143967
131	21843	143638
132	21992	143367
133	22150	143152
134	22338	143130
135	22605	143609
136	22930	144443
137	23352	145865
138	23685	146711
